"","feature","frequency"
"1","of_the",4374
"2","in_the",4255
"3","to_the",2185
"4","for_the",2017
"5","on_the",2009
"6","to_be",1619
"7","at_the",1487
"8","and_the",1260
"9","in_a",1197
"10","with_the",1067
"11","it_was",1041
"12","is_a",975
"13","for_a",928
"14","i_was",889
"15","it_is",877
"16","with_a",861
"17","from_the",851
"18","i_have",831
"19","and_i",829
"20","will_be",797
"21","of_a",790
"22","going_to",770
"23","if_you",756
"24","i_am",756
"25","have_a",742
"26","one_of",715
"27","is_the",703
"28","to_get",679
"29","as_a",676
"30","want_to",661
"31","by_the",641
"32","have_to",628
"33","this_is",627
"34","i_think",619
"35","and_a",593
"36","to_do",589
"37","was_a",573
"38","out_of",571
"39","that_the",571
"40","to_see",570
"41","all_the",565
"42","the_first",564
"43","that_i",556
"44","but_i",539
"45","to_a",536
"46","on_a",531
"47","i_love",528
"48","the_same",520
"49","a_lot",512
"50","be_a",489
"51","you_can",475
"52","to_make",473
"53","have_been",470
"54","has_been",468
"55","need_to",460
"56","would_be",455
"57","thanks_for",454
"58","i_don't",452
"59","he_was",447
"60","of_my",443
"61","as_the",438
"62","you_have",437
"63","a_few",432
"64","to_go",432
"65","in_my",420
"66","to_have",415
"67","you_are",415
"68","when_i",415
"69","more_than",412
"70","thank_you",406
"71","they_are",406
"72","about_the",402
"73","i_can",401
"74","the_best",401
"75","i_know",400
"76","a_little",397
"77","we_are",397
"78","he_said",394
"79","i_had",391
"80","into_the",390
"81","a_good",377
"82","that_is",374
"83","had_a",373
"84","there_is",371
"85","a_great",368
"86","the_most",359
"87","was_the",356
"88","i_just",355
"89","do_you",354
"90","so_i",350
"91","the_new",340
"92","a_new",338
"93","part_of",337
"94","lot_of",332
"95","over_the",332
"96","but_the",328
"97","all_of",326
"98","is_not",324
"99","trying_to",323
"100","we_have",320
"101","so_much",317
"102","the_way",317
"103","the_world",317
"104","on_my",311
"105","i_would",311
"106","like_a",310
"107","said_the",307
"108","are_you",303
"109","there_are",301
"110","some_of",297
"111","able_to",295
"112","i_will",292
"113","up_to",287
"114","at_least",287
"115","the_last",283
"116","and_it",283
"117","can_be",282
"118","when_you",280
"119","and_then",279
"120","as_well",279
"121","to_me",276
"122","the_time",274
"123","way_to",271
"124","that_he",271
"125","for_me",269
"126","i_want",269
"127","you_know",268
"128","the_next",267
"129","to_take",264
"130","time_to",262
"131","the_day",262
"132","if_i",260
"133","the_only",259
"134","back_to",258
"135","be_the",255
"136","of_this",248
"137","that_was",247
"138","in_this",247
"139","what_i",245
"140","is_that",244
"141","in_his",244
"142","go_to",244
"143","according_to",242
"144","kind_of",242
"145","right_now",241
"146","i_could",240
"147","to_my",240
"148","he_is",240
"149","the_end",239
"150","at_a",237
"151","but_it",236
"152","this_year",235
"153","would_have",235
"154","of_his",234
"155","from_a",231
"156","for_you",230
"157","me_to",230
"158","the_other",229
"159","wanted_to",228
"160","how_to",228
"161","i_do",228
"162","like_the",226
"163","year_old",226
"164","had_to",224
"165","has_a",224
"166","like_to",221
"167","that_you",220
"168","should_be",219
"169","i_need",219
"170","that_it",219
"171","they_were",219
"172","when_the",218
"173","to_say",217
"174","a_year",217
"175","of_course",214
"176","of_our",214
"177","i_like",212
"178","that_we",212
"179","it's_a",209
"180","she_was",208
"181","it_would",206
"182","new_york",206
"183","up_and",205
"184","and_that",205
"185","as_i",201
"186","a_bit",201
"187","get_a",200
"188","i_can't",200
"189","said_he",200
"190","i_got",199
"191","end_of",197
"192","it_to",197
"193","by_a",196
"194","we_can",194
"195","and_we",193
"196","through_the",193
"197","the_state",193
"198","is_to",193
"199","this_week",192
"200","not_a",192
"201","up_the",192
"202","you_will",192
"203","with_my",191
"204","a_very",190
"205","are_the",189
"206","i_did",189
"207","of_them",189
"208","love_you",188
"209","what_you",187
"210","to_find",187
"211","because_i",187
"212","out_the",187
"213","i_feel",186
"214","there_was",186
"215","did_not",186
"216","if_the",185
"217","know_what",184
"218","what_is",183
"219","most_of",183
"220","forward_to",182
"221","have_the",182
"222","to_work",181
"223","we_were",180
"224","last_night",180
"225","of_your",179
"226","been_a",179
"227","which_is",178
"228","it_has",177
"229","could_be",177
"230","i_thought",177
"231","such_as",177
"232","the_city",177
"233","into_a",176
"234","for_my",176
"235","you_to",175
"236","i_dont",175
"237","the_past",175
"238","he_has",175
"239","try_to",174
"240","in_your",174
"241","to_help",174
"242","up_with",173
"243","such_a",173
"244","off_the",172
"245","looking_for",172
"246","and_his",172
"247","she_said",172
"248","after_the",171
"249","of_their",171
"250","to_keep",171
"251","you_want",170
"252","to_give",170
"253","had_been",170
"254","for_this",169
"255","me_and",169
"256","do_it",168
"257","a_couple",168
"258","of_it",167
"259","of_all",166
"260","a_big",166
"261","that_they",165
"262","they_have",165
"263","the_game",165
"264","around_the",165
"265","i_hope",164
"266","it_will",164
"267","and_you",164
"268","me_i",164
"269","not_to",164
"270","last_year",163
"271","is_an",163
"272","the_second",163
"273","because_of",162
"274","just_a",161
"275","it_i",161
"276","i_didn't",160
"277","do_not",160
"278","can't_wait",159
"279","when_he",159
"280","to_come",159
"281","used_to",158
"282","and_other",158
"283","and_he",157
"284","to_you",157
"285","i'm_not",157
"286","no_one",157
"287","i_really",157
"288","a_long",157
"289","is_in",156
"290","make_it",156
"291","and_to",156
"292","years_ago",155
"293","out_to",155
"294","i_get",155
"295","take_a",154
"296","for_your",154
"297","are_not",154
"298","got_a",154
"299","of_those",154
"300","in_our",153
"301","people_who",152
"302","the_year",152
"303","in_an",152
"304","of_you",152
"305","he_had",151
"306","see_you",150
"307","to_start",150
"308","and_they",150
"309","to_play",150
"310","let_me",149
"311","the_top",149
"312","be_able",149
"313","be_in",148
"314","is_it",148
"315","during_the",148
"316","look_at",148
"317","get_to",147
"318","is_so",147
"319","it_in",147
"320","the_one",146
"321","so_many",146
"322","the_right",145
"323","see_the",145
"324","to_know",145
"325","in_and",145
"326","you_need",144
"327","and_in",144
"328","now_i",143
"329","high_school",143
"330","up_in",142
"331","it_and",142
"332","in_their",142
"333","about_it",142
"334","you_do",142
"335","know_that",142
"336","for_all",141
"337","are_a",140
"338","not_the",140
"339","them_to",140
"340","the_house",140
"341","the_company",140
"342","time_i",139
"343","don't_know",139
"344","you_for",139
"345","of_that",139
"346","make_a",138
"347","after_a",138
"348","may_be",138
"349","to_use",138
"350","that_would",138
"351","to_all",137
"352","my_life",137
"353","did_you",137
"354","the_rest",137
"355","is_going",137
"356","feel_like",136
"357","we_will",135
"358","me_a",135
"359","on_your",134
"360","you_think",134
"361","on_this",134
"362","well_as",134
"363","she_is",134
"364","was_not",133
"365","of_us",133
"366","does_not",133
"367","first_time",133
"368","back_in",132
"369","if_they",132
"370","too_much",132
"371","when_we",131
"372","those_who",131
"373","before_the",131
"374","i've_been",130
"375","in_that",130
"376","ready_to",130
"377","looking_forward",130
"378","if_it",130
"379","instead_of",130
"380","get_the",130
"381","at_all",130
"382","how_much",129
"383","on_his",129
"384","it_out",129
"385","you_don't",128
"386","who_is",128
"387","out_and",128
"388","went_to",128
"389","said_it",128
"390","couple_of",127
"391","you_and",127
"392","with_me",127
"393","was_in",127
"394","so_far",127
"395","than_the",127
"396","i_hate",126
"397","lots_of",126
"398","with_you",126
"399","under_the",126
"400","we_had",126
"401","against_the",126
"402","last_week",126
"403","is_no",126
"404","to_hear",125
"405","when_they",125
"406","number_of",125
"407","not_be",124
"408","to_your",124
"409","when_it",124
"410","you_get",123
"411","the_people",123
"412","might_be",123
"413","and_all",123
"414","that_are",123
"415","enough_to",123
"416","what_a",122
"417","with_an",122
"418","hard_to",122
"419","the_whole",122
"420","or_the",121
"421","and_my",121
"422","time_for",121
"423","of_her",121
"424","to_his",120
"425","to_win",120
"426","it's_not",120
"427","think_i",120
"428","the_u.s",120
"429","and_is",119
"430","but_he",119
"431","the_country",119
"432","what_the",119
"433","it_a",118
"434","check_out",118
"435","the_fact",118
"436","a_week",117
"437","is_my",117
"438","up_on",117
"439","is_one",117
"440","down_the",117
"441","love_the",117
"442","up_for",116
"443","it_all",116
"444","do_i",116
"445","wait_to",116
"446","out_there",116
"447","i_guess",116
"448","make_sure",116
"449","or_a",116
"450","don't_have",115
"451","it_the",115
"452","i_wanted",115
"453","will_have",115
"454","a_day",114
"455","as_it",114
"456","and_not",114
"457","of_people",114
"458","that_will",113
"459","for_more",113
"460","if_we",113
"461","this_morning",112
"462","a_small",112
"463","you_guys",111
"464","of_these",111
"465","to_this",111
"466","the_two",111
"467","who_are",111
"468","than_a",111
"469","away_from",111
"470","come_to",111
"471","said_i",111
"472","for_an",110
"473","chance_to",110
"474","you_all",110
"475","this_was",110
"476","with_his",110
"477","you_should",109
"478","having_a",109
"479","as_much",109
"480","decided_to",109
"481","thanks_to",108
"482","the_show",108
"483","is_on",108
"484","as_an",108
"485","i_wish",108
"486","make_the",108
"487","to_put",108
"488","say_that",108
"489","time_and",107
"490","of_what",107
"491","we_need",106
"492","the_big",106
"493","but_not",106
"494","love_to",106
"495","a_chance",106
"496","up_a",106
"497","along_with",106
"498","on_to",105
"499","is_just",105
"500","like_it",105
"501","for_that",105
"502","who_has",105
"503","like_that",104
"504","that_she",104
"505","there_were",104
"506","to_watch",104
"507","are_in",104
"508","must_be",104
"509","you_i",104
"510","in_her",104
"511","will_not",104
"512","rest_of",104
"513","of_an",104
"514","have_you",104
"515","this_time",103
"516","the_final",103
"517","about_to",103
"518","and_so",103
"519","i_still",103
"520","is_what",103
"521","this_weekend",103
"522","had_the",103
"523","can_do",103
"524","based_on",103
"525","him_to",103
"526","that_a",103
"527","where_the",102
"528","could_have",102
"529","not_only",102
"530","i_should",102
"531","has_to",102
"532","the_team",102
"533","for_his",102
"534","if_he",102
"535","have_no",102
"536","follow_me",101
"537","need_a",101
"538","it_on",101
"539","my_own",101
"540","and_was",101
"541","working_on",100
"542","all_i",100
"543","across_the",100
"544","talk_about",100
"545","to_our",100
"546","you_could",100
"547","know_how",100
"548","as_he",100
"549","about_a",100
"550","was_just",99
"551","you_were",99
"552","many_of",99
"553","even_though",99
