"","feature","frequency"
"1","of_the",4374
"2","in_the",4255
"3","to_the",2185
"4","on_the",2009
"5","to_be",1619
"6","and_the",1260
"7","for_the",2017
"8","it_was",1041
"9","at_the",1487
"10","it_is",877
"11","and_i",829
"12","i_was",889
"13","i_have",831
"14","in_a",1197
"15","with_the",1067
"16","i_am",756
"17","is_a",975
"18","that_i",556
"19","from_the",851
"20","with_a",861
"21","this_is",627
"22","for_a",928
"23","of_a",790
"24","if_you",756
"25","one_of",715
"26","is_the",703
"27","by_the",641
"28","have_a",742
"29","that_the",571
"30","to_get",679
"31","to_do",589
"32","was_a",573
"33","will_be",797
"34","want_to",661
"35","as_a",676
"36","have_to",628
"37","but_i",539
"38","i_had",391
"39","all_the",565
"40","a_few",432
"41","and_a",593
"42","when_i",415
"43","going_to",770
"44","you_can",475
"45","i_think",619
"46","out_of",571
"47","have_been",470
"48","of_my",443
"49","they_are",406
"50","a_lot",512
"51","in_my",420
"52","so_i",350
"53","the_same",520
"54","on_a",531
"55","as_the",438
"56","the_first",564
"57","there_is",371
"58","a_little",397
"59","to_make",473
"60","would_be",455
"61","to_see",570
"62","into_the",390
"63","that_is",374
"64","to_a",536
"65","and_then",279
"66","to_have",415
"67","need_to",460
"68","i_can",401
"69","has_been",468
"70","he_was",447
"71","be_a",489
"72","about_the",402
"73","and_it",283
"74","i_would",311
"75","you_have",437
"76","i_know",400
"77","the_most",359
"78","some_of",297
"79","you_are",415
"80","was_the",356
"81","we_are",397
"82","all_of",326
"83","to_go",432
"84","had_a",373
"85","the_time",274
"86","as_i",201
"87","is_not",324
"88","lot_of",332
"89","a_bit",201
"90","of_this",248
"91","there_are",301
"92","the_world",317
"93","what_i",245
"94","part_of",337
"95","i_will",292
"96","able_to",295
"97","for_me",269
"98","the_way",317
"99","wanted_to",228
"100","in_this",247
"101","to_me",276
"102","i_could",240
"103","over_the",332
"104","that_you",220
"105","a_good",377
"106","that_we",212
"107","but_the",328
"108","as_well",279
"109","we_have",320
"110","the_end",239
"111","that_he",271
"112","the_other",229
"113","the_last",283
"114","i_don't",452
"115","that_it",219
"116","i_love",528
"117","the_best",401
"118","can_be",282
"119","if_i",260
"120","me_to",230
"121","to_take",264
"122","is_that",244
"123","the_next",267
"124","a_new",338
"125","like_a",310
"126","because_i",187
"127","i_dont",175
"128","had_to",224
"129","like_to",221
"130","but_it",236
"131","i_did",189
"132","and_that",205
"133","of_course",214
"134","to_say",217
"135","trying_to",323
"136","do_you",354
"137","i_do",228
"138","would_have",235
"139","so_much",317
"140","on_my",311
"141","he_is",240
"142","a_great",368
"143","how_to",228
"144","is_to",193
"145","more_than",412
"146","we_were",180
"147","to_my",240
"148","at_least",287
"149","the_new",340
"150","of_his",234
"151","of_our",214
"152","you_will",192
"153","time_to",262
"154","the_day",262
"155","she_was",208
"156","back_to",258
"157","i_just",355
"158","and_we",193
"159","of_your",179
"160","there_was",186
"161","when_you",280
"162","it_would",206
"163","that_they",165
"164","kind_of",242
"165","in_his",244
"166","up_to",287
"167","has_a",224
"168","up_and",205
"169","they_were",219
"170","end_of",197
"171","for_my",176
"172","the_only",259
"173","of_them",189
"174","through_the",193
"175","most_of",183
"176","like_the",226
"177","way_to",271
"178","of_all",166
"179","i_thought",177
"180","it_to",197
"181","which_is",178
"182","me_and",169
"183","a_very",190
"184","up_the",192
"185","around_the",165
"186","from_a",231
"187","for_this",169
"188","to_find",187
"189","it_has",177
"190","i_want",269
"191","and_to",156
"192","that_was",247
"193","i_got",199
"194","at_a",237
"195","you_to",175
"196","up_with",173
"197","i_wanted",115
"198","not_a",192
"199","time_i",139
"200","by_a",196
"201","and_you",164
"202","when_we",131
"203","what_is",183
"204","are_the",189
"205","had_been",169
"206","you_know",268
"207","with_my",191
"208","decided_to",109
"209","of_it",167
"210","been_a",179
"211","be_the",255
"212","to_give",170
"213","in_our",153
"214","in_your",174
"215","of_us",133
"216","into_a",176
"217","go_to",244
"218","out_the",187
"219","we_had",126
"220","know_that",142
"221","me_i",164
"222","a_couple",168
"223","is_an",163
"224","of_you",152
"225","for_you",230
"226","have_the",182
"227","should_be",219
"228","try_to",174
"229","this_was",110
"230","such_a",173
"231","it_and",142
"232","when_the",218
"233","and_so",103
"234","about_it",142
"235","and_they",150
"236","the_whole",122
"237","did_not",186
"238","and_he",157
"239","i_like",212
"240","used_to",158
"241","it_in",147
"242","such_as",173
"243","as_it",114
"244","a_big",166
"245","be_able",149
"246","we_can",194
"247","to_work",181
"248","you_want",170
"249","the_fact",118
"250","this_year",235
"251","of_those",154
"252","she_is",134
"253","of_their",171
"254","when_he",159
"255","do_not",160
"256","i_didn't",160
"257","is_no",126
"258","and_in",144
"259","or_the",121
"260","the_past",175
"261","in_their",142
"262","of_these",111
"263","it_will",164
"264","people_who",152
"265","to_use",138
"266","that_she",101
"267","not_to",164
"268","it_i",161
"269","i_feel",186
"270","to_know",145
"271","at_all",130
"272","i_need",219
"273","get_a",200
"274","and_his",172
"275","he_has",175
"276","enough_to",123
"277","the_top",149
"278","look_at",148
"279","time_and",107
"280","they_have",165
"281","the_right",145
"282","and_all",123
"283","i_found",84
"284","are_not",154
"285","this_week",192
"286","then_i",98
"287","to_keep",171
"288","i_really",157
"289","was_not",133
"290","no_one",157
"291","well_as",134
"292","what_you",187
"293","a_long",157
"294","of_that",139
"295","them_to",140
"296","on_this",134
"297","and_my",121
"298","he_had",151
"299","the_one",146
"300","of_her",121
"301","under_the",126
"302","those_who",131
"303","it_all",116
"304","me_a",135
"305","so_many",146
"306","in_and",145
"307","i_hope",164
"308","the_story",92
"309","now_i",143
"310","the_book",96
"311","fact_that",98
"312","to_this",111
"313","went_to",128
"314","just_a",161
"315","i_used",74
"316","not_be",124
"317","are_a",140
"318","not_only",102
"319","does_not",133
"320","instead_of",130
"321","out_and",128
"322","take_a",154
"323","was_in",127
"324","its_a",81
"325","the_people",123
"326","with_me",127
"327","according_to",242
"328","that_are",123
"329","there_were",100
"330","if_it",130
"331","my_life",137
"332","the_rest",137
"333","is_what",103
"334","during_the",148
"335","thank_you",402
"336","my_own",101
"337","you_do",142
"338","so_that",86
"339","bit_of",75
"340","see_the",145
"341","know_what",184
"342","if_the",185
"343","i_made",75
"344","because_of",162
"345","on_to",105
"346","this_time",103
"347","in_that",130
"348","and_if",94
"349","couple_of",127
"350","in_fact",91
"351","too_much",132
"352","when_it",124
"353","say_that",108
"354","here_is",66
"355","up_in",142
"356","out_to",155
"357","if_we",113
"358","lots_of",126
"359","do_it",168
"360","you_need",144
"361","as_we",95
"362","which_i",55
"363","and_this",78
"364","he_said",394
"365","i_didnt",70
"366","it_a",118
"367","with_this",89
"368","so_we",88
"369","will_not",104
"370","what_the",119
"371","many_of",99
"372","get_the",130
"373","to_you",157
"374","number_of",125
"375","off_the",172
"376","as_you",95
"377","could_be",177
"378","and_have",96
"379","i_went",80
"380","to_your",124
"381","was_so",95
"382","and_not",114
"383","or_a",116
"384","is_in",156
"385","of_what",107
"386","you_think",134
"387","their_own",98
"388","and_is",119
"389","who_are",111
"390","to_read",76
"391","to_help",174
"392","to_start",150
"393","i_also",73
"394","even_though",99
"395","in_her",104
"396","in_which",92
"397","and_was",101
"398","a_year",217
"399","that_this",85
"400","it_the",115
"401","is_my",117
"402","the_house",140
"403","year_old",226
"404","know_how",100
"405","is_so",147
"406","not_the",140
"407","to_come",159
"408","each_other",91
"409","after_the",171
"410","and_she",78
"411","with_an",122
"412","and_how",83
"413","as_they",98
"414","are_in",104
"415","as_an",108
"416","get_to",147
"417","to_her",94
"418","away_from",111
"419","looking_for",172
"420","years_ago",155
"421","down_the",117
"422","a_small",112
"423","i_cant",78
"424","let_me",149
"425","when_they",125
"426","so_it",77
"427","first_time",133
"428","and_other",158
"429","i_can't",200
"430","i'm_not",157
"431","in_an",152
"432","to_write",75
"433","how_i",79
"434","to_try",97
"435","the_second",163
"436","and_its",93
"437","for_all",141
"438","am_not",66
"439","have_no",102
"440","full_of",91
"441","even_if",91
"442","before_the",131
"443","for_their",96
"444","this_one",80
"445","seems_to",77
"446","in_order",72
"447","that_in",80
"448","that_will",113
"449","and_there",76
"450","is_just",105
"451","think_i",120
"452","for_your",154
"453","it's_a",209
"454","who_is",128
"455","could_have",102
"456","at_this",89
"457","and_even",72
"458","might_be",123
"459","make_the",108
"460","to_put",108
"461","him_to",103
"462","hard_to",122
"463","we_all",87
"464","the_kids",79
"465","for_those",74
"466","is_it",148
"467","my_first",85
"468","tell_you",83
"469","on_his",129
"470","the_back",86
"471","do_i",116
"472","a_week",117
"473","for_him",79
"474","tried_to",89
"475","rest_of",104
"476","the_lord",56
"477","about_a",100
"478","may_be",138
"479","and_some",89
"480","has_to",102
"481","you_could",100
"482","up_a",106
"483","him_and",84
"484","the_two",111
"485","make_a",138
"486","with_his",110
"487","i've_been",130
"488","to_share",78
"489","what_it",78
"490","on_your",134
"491","think_that",73
"492","day_i",98
"493","that_would",138
"494","ready_to",130
"495","it_on",101
"496","feel_like",136
"497","can_do",103
"498","and_for",86
"499","you_all",110
"500","but_if",72
"501","we_will",135
"502","about_how",75
"503","where_the",102
"504","of_time",70
"505","supposed_to",82
"506","the_point",77
"507","can_see",62
"508","you_would",67
"509","not_sure",94
"510","side_of",86
"511","they_will",84
"512","how_much",129
"513","i_should",102
"514","is_one",117
"515","new_york",206
"516","top_of",79
"517","the_following",53
"518","from_my",85
"519","to_think",78
"520","im_not",71
"521","it_out",129
"522","so_far",127
"523","and_as",63
"524","than_the",127
"525","was_going",83
"526","them_and",66
"527","to_his",120
"528","and_now",90
"529","where_you",85
"530","the_big",106
"531","to_all",137
"532","are_you",303
"533","a_while",93
"534","would_like",80
"535","but_they",88
"536","to_their",80
"537","out_there",116
"538","for_us",86
"539","the_country",119
"540","i_read",54
"541","along_with",106
"542","must_be",104
"543","but_he",119
"544","until_the",89
"545","if_they",132
"546","what_we",96
"547","the_bottom",72
"548","after_a",138
"549","of_people",114
"550","right_now",241
"551","pretty_much",67
"552","think_about",84
"553","i_still",103
"554","like_it",105
